"-1","preferred","Intervenções de diagnóstico e monitoramento"
"-1","description","Uma intervenção clínica destinada a diagnosticar e monitorar a doença, condição ou lesão de um paciente."
"-101","preferred","Exame ou avaliação de saúde completa"
"-101","description","Exame completo de um sistema orgânico ou de todo o corpo, incluindo exame relacionado a problemas mentais e sociais, realizado em consultório."
"-101","exclusion","questionários de saúde <Reference>-111</Reference>"
"-101","indexwords","exame físico, corpo inteiro"
"-101","indexwords","avaliação do corpo todo"
"-102","preferred","Exame ou avaliação de saúde parcial"
"-102","description","Exame de uma parte específica de um sistema orgânico ou funções mentais específicas, ou problema social relacionado, realizado no consultório."
"-102","inclusion","ausculta"
"-102","inclusion","medição da pressão arterial"
"-102","inclusion","medição da temperatura corporal"
"-102","inclusion","dermatoscopia"
"-102","inclusion","seguimento de condição específica"
"-102","inclusion","oftalmoscopia (fundoscopia)"
"-102","inclusion","exame ginecológico"
"-102","inclusion","oximetria"
"-102","inclusion","palpação"
"-102","inclusion","exame pélvico"
"-102","inclusion","percussão"
"-102","inclusion","exame retal"
"-102","inclusion","inspeção visual"
"-102","exclusion","questionários de saúde <Reference>-111</Reference>"
"-102","exclusion","cuidados com a gravidez <Reference>W309</Reference>"
"-102","note","Esta classe também pode ser usada no caso de um seguimento de um motivo de consulta, para uma visita de controle para uma condição conhecida"
"-102","indexwords","anamnese"
"-102","indexwords","avaliação da função cardiovascular"
"-102","indexwords","avaliação do sistema genital masculino"
"-102","indexwords","avaliação das funções auditivas"
"-102","indexwords","avaliação das funções visuais"
"-102","indexwords","avaliação das funções excretoras urinárias"
"-102","indexwords","avaliação das funções vestibulares"
"-102","indexwords","monitoramento da pressão arterial"
"-102","indexwords","rastreamento clínico de problemas de saúde individuais"
"-102","indexwords","diafanoscopia"
"-102","indexwords","exame em uma parte específica de um sistema orgânico"
"-102","indexwords","exame do olho"
"-102","indexwords","investigação da marcha"
"-102","indexwords","exame ginecológico"
"-102","indexwords","ausculta cardíaca"
"-102","indexwords","inspeção da pele"
"-102","indexwords","investigação de reflexos"
"-102","indexwords","exame manual da mama"
"-102","indexwords","teste manual de potência muscular"
"-102","indexwords","aferição da pressão arterial"
"-102","indexwords","aferição da altura"
"-102","indexwords","exame médico"
"-102","indexwords","avaliação neurológica"
"-102","indexwords","exame oral"
"-102","indexwords","otoscopia"
"-102","indexwords","exame físico de qualquer local do corpo"
"-102","indexwords","rinoscopia anterior"
"-102","indexwords","teste de funções neuromusculoesqueléticas e relacionadas ao movimento"
"-102","indexwords","funções de toque"
"-102","indexwords","teste do diapasão"
"-102","indexwords","aferição do peso"
"-102","indexwords","teste da voz sussurrante"
"-103","preferred","Teste de sensibilidade"
"-103","description","Realização de teste ou solicitação de teste para detecção/exclusão de alergia."
"-103","inclusion","teste de sensibilidade alimentar"
"-103","inclusion","teste de Mantoux"
"-103","inclusion","teste de provocação com metacolina"
"-103","inclusion","teste de patch"
"-103","inclusion","teste radioalergossorvente (RAST)"
"-103","inclusion","teste cutâneo"
"-103","exclusion","dessensibilização <Reference>-202</Reference>"
"-103","indexwords","teste de sensibilidade de contato"
"-103","indexwords","desafio alimentar"
"-103","indexwords","teste de provocação alimentar"
"-103","indexwords","teste cutâneo intradérmico"
"-103","indexwords","teste de provocação"
"-103","indexwords","teste de sensibilidade bacteriológica"
"-104","preferred","Teste microbiológico ou imunológico"
"-104","description","Realização de teste ou solicitação de teste para detectar/excluir microrganismos/mecanismos imunológicos."
"-104","inclusion","teste de anticorpos"
"-104","inclusion","PCR"
"-104","inclusion","teste de culturas"
"-104","inclusion","Teste de DNA/RNA para detecção do agente causador"
"-104","inclusion","teste de DNA-HPV"
"-104","inclusion","testes sorológicos/imunológicos"
"-104","indexwords","teste de antígeno ou anticorpo"
"-104","indexwords","avaliação das funções do sistema imunológico"
"-104","indexwords","cultura de fezes"
"-104","indexwords","vírus do papiloma humano"
"-104","indexwords","avaliação das funções do sistema imunológico"
"-104","indexwords","teste microbiológico"
"-104","indexwords","teste PCR"
"-104","indexwords","cultura de escarro"
"-104","indexwords","cultura da garganta"
"-104","indexwords","cultura de urina"
"-105","preferred","Exame de sangue"
"-105","description","Realização de exame ou solicitação de exame para todos os parâmetros sanguíneos."
"-105","inclusion","teste de grupo sanguíneo"
"-105","inclusion","exames de análise clínica no sangue"
"-105","inclusion","testes de coagulação"
"-105","inclusion","exames de hematologia"
"-105","inclusion","mensuração da depuração da creatinina"
"-105","exclusion","teste microbiológico/sorológico e imunológico em amostra de sangue <Reference>-104</Reference>"
"-105","exclusion","teste de sensibilidade em uma amostra de sangue (RAST/alergia) <Reference>-103</Reference>"
"-105","indexwords","coleta de sangue do calcanhar"
"-105","indexwords","coleta de amostra de sangue"
"-105","indexwords","testes para todas as determinações no sangue"
"-106","preferred","Exame de urina"
"-106","description","Realização de exame ou solicitação de exame para todas as determinações na urina."
"-106","inclusion","relação albumina/creatinina na urina"
"-106","exclusion","teste microbiológico/sorológico e imunológico em amostra de urina <Reference>-104</Reference>"
"-106","exclusion","citologia urinária <Reference>-108</Reference>"
"-106","indexwords","determinações na urina"
"-106","indexwords","coleta de amostra, urina"
"-106","indexwords","exame de urina"
"-107","preferred","Exame de fezes"
"-107","description","Realização de exame ou solicitação de exame para todas as determinações nas fezes."
"-107","inclusion","protoparasitológico nas fezes (PPF)"
"-107","exclusion","teste microbiológico/sorológico e imunológico em amostra de fezes <Reference>-104</Reference>"
"-107","indexwords","determinações nas fezes"
"-107","indexwords","exame microscópico das fezes"
"-107","indexwords","coleta de amostras, fezes"
"-107","indexwords","microscopia de fezes"
"-108","preferred","Citologia histológica e esfoliativa"
"-108","description","Realizar um teste ou solicitar um teste para examinar a estrutura de tecidos e células sob um microscópio (eletrônico)."
"-108","inclusion","anatomia patológica"
"-108","inclusion","biópsia de pele"
"-108","inclusion","exame histológico ou citológico de tecido ou fluido coletado por punção, biópsia, excisão, esfregaço ou coleta"
"-108","inclusion","citologia urinária"
"-108","exclusion","análise de sêmen <Reference>-109</Reference>"
"-108","exclusion","análise de escarro <Reference>-109</Reference>"
"-108","exclusion","teste de trichomonas vaginalis <Reference>-109</Reference>"
"-108","indexwords","biópsia de pele"
"-108","indexwords","exame de citologia cervical"
"-108","indexwords","esfregaço de papanicolaou cervical"
"-108","indexwords","detecção de alterações celulares"
"-108","indexwords","exame de tecido ou fluido"
"-108","indexwords","citologia esfoliativa"
